squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Milan,20.0,39.0,19.0,4.0,1,43.0,1.0,13.0
Inter,22.0,45.0,23.0,4.0,2,40.0,2.0,12.0
Juventus,18.0,37.0,19.0,6.0,3,36.0,2.0,10.0
Napoli,23.0,41.0,18.0,1.0,4,34.0,6.0,11.0
Roma,8.0,37.0,29.0,4.0,5,34.0,4.0,10.0
Atalanta,18.0,41.0,23.0,6.0,6,33.0,3.0,9.0
Lazio,5.0,30.0,25.0,4.0,7,31.0,5.0,9.0
Sassuolo,4.0,31.0,27.0,6.0,8,30.0,4.0,8.0
Verona,5.0,22.0,17.0,6.0,9,27.0,5.0,7.0
Sampdoria,-1.0,28.0,29.0,2.0,10,23.0,9.0,7.0
Benevento,-13.0,21.0,34.0,3.0,11,21.0,9.0,6.0
Bologna,-7.0,24.0,31.0,5.0,12,20.0,8.0,5.0
Spezia,-9.0,23.0,32.0,6.0,13,18.0,8.0,4.0
Fiorentina,-11.0,18.0,29.0,6.0,14,18.0,8.0,4.0
Udinese,-8.0,20.0,28.0,5.0,15,17.0,9.0,4.0
Genoa,-12.0,18.0,30.0,6.0,16,15.0,9.0,3.0
Cagliari,-13.0,23.0,36.0,5.0,17,14.0,10.0,3.0
Torino,-9.0,26.0,35.0,7.0,18,13.0,9.0,2.0
Parma,-20.0,14.0,34.0,7.0,19,13.0,9.0,2.0
Crotone,-20.0,21.0,41.0,3.0,20,12.0,12.0,3.0
