Squadra,Diff,Gf,Gs,N,P,Posizione,Punti,V
Inter,20.0,25.0,5.0,1.0,1.0,1,25.0,8.0
Juventus,10.0,16.0,6.0,2.0,1.0,2,23.0,7.0
Milan,7.0,18.0,11.0,1.0,2.0,3,22.0,7.0
Atalanta,10.0,18.0,8.0,1.0,3.0,4,19.0,6.0
Napoli,10.0,22.0,12.0,3.0,2.0,5,18.0,5.0
Fiorentina,4.0,18.0,14.0,2.0,3.0,6,17.0,5.0
Lazio,1.0,13.0,12.0,1.0,4.0,7,16.0,5.0
Bologna,3.0,11.0,8.0,6.0,1.0,8,15.0,3.0
Roma,7.0,20.0,13.0,2.0,4.0,9,14.0,4.0
Monza,0.0,9.0,9.0,4.0,3.0,10,13.0,3.0
Lecce,-2.0,10.0,12.0,4.0,3.0,11,13.0,3.0
Frosinone,-2.0,15.0,17.0,3.0,4.0,12,12.0,3.0
Torino,-5.0,7.0,12.0,3.0,4.0,13,12.0,3.0
Genoa,-3.0,11.0,14.0,2.0,5.0,14,11.0,3.0
Sassuolo,-4.0,13.0,17.0,2.0,5.0,15,11.0,3.0
Verona,-6.0,6.0,12.0,2.0,6.0,16,8.0,2.0
Udinese,-8.0,6.0,14.0,7.0,3.0,17,7.0,0.0
Empoli,-16.0,3.0,19.0,1.0,7.0,18,7.0,2.0
Cagliari,-12.0,9.0,21.0,3.0,6.0,19,6.0,1.0
Salernitana,-14.0,6.0,20.0,4.0,6.0,20,4.0,0.0
